id,bab,japanese,furigana,raw_display,romaji,indonesian
679,19,木,き,木(き),ki,pohon
680,19,きもの,きもの,きもの,kimono,pakaian khas Jepang
681,19,じこ,じこ,じこ,jiko,kecelakaan
682,19,じしん,じしん,じしん,jishin,gempa bumi
683,19,しにます,しにます,しにます,shinimasu,meninggal
684,19,ストーブ,ストーブ,ストーブ,suto-bu,alat pemanas ruangan
685,19,たいいんします,たいいんします,たいいんします,taiinshimasu,meninggalkan rumah sakit
686,19,たいふう,たいふう,たいふう,taifuu,topan
687,19,だんだん,だんだん,だんだん,dandan,sedikit demi sedikit
688,19,ディズニーランド,ディズニーランド,ディズニーランド,dizuni-rando,disney land
689,19,テーブル,テーブル,テーブル,te-buru,meja
690,19,天気,てんき,天気(てんき),tenki,cuaca
691,19,とびます,とびます,とびます,tobimasu,terbang
692,19,なつ休み,なつやすみ,なつ休(やす)み,natsuyasumi,libur musim panas
693,19,にゅういんします,にゅういんします,にゅういんします,nyuuinshimasu,masuk rumah sakit
694,19,のど,のど,のど,nodo,tenggorokan
695,19,のどがかわきます,のどがかわきます,のどがかわきます,nodogakawakimasu,haus
696,19,のぼります,のぼります,のぼります,noborimasu,mendaki/memanjat
697,19,ふね,ふね,ふね,fune,kapal laut
698,19,やけます,やけます,やけます,yakemasu,terbakar
699,19,ゆうべ,ゆうべ,ゆうべ,yuube,tadi malam
700,19,ゆき,ゆき,ゆき,yuki,salju
701,20,足元注意,あしもとちゅうい,足元注意(あしもとちゅうい),ashimotochuui,hati-hati melangkah
702,20,あな,あな,あな,ana,lubang
703,20,あやまります,あやまります,あやまります,ayamarimasu,minta maaf
704,20,安全ぐつ,あんぜんぐつ,安全(あんぜん)ぐつ,anzengutsu,sepatu pengaman
705,20,オイル,オイル,オイル,oiru,OLI/minyak pelumas
706,20,おきば,おきば,おきば,okiba,tempat menyimpan barang
707,20,おこります,おこります,おこります,okorimasu,marah
708,20,かいしょうします,かいしょうします,かいしょうします,kaishoushimasu,menghilangkan
709,20,かんかく,かんかく,かんかく,kankaku,jarak
710,20,ざいりょう,ざいりょう,ざいりょう,zairyou,bahan baku
711,20,さげます,さげます,さげます,sagemasu,menurunkan
712,20,さわぎます,さわぎます,さわぎます,sawagimasu,gaduh/ribut
713,20,じゅんばん,じゅんばん,じゅんばん,junban,urutan
714,20,頭上注意,ずじょうちゅうい,頭上注意(ずじょうちゅうい),zujouchuui,hati-hati sebelah atas
715,20,ストレス,ストレス,ストレス,sutoresu,stres
716,20,ぜい金,ぜいきん,ぜい金(きん),zeikin,pajak
717,20,整理整頓,せいりせいとん,整理整頓(せいりせいとん),seiriseiton,menyusun merapikan
718,20,大ごえ,おおごえ,大(おお)ごえ,oogoe,suara keras
719,20,駐輪禁止,ちゅうりんきんし,駐輪禁止(ちゅうりんきんし),chuurinkinshi,dilarang parkir sepeda
720,20,ちょっと,ちょっと,ちょっと,chotto,sebentar/sedikit
721,20,てつくず,てつくず,てつくず,tetsukuzu,sampah serbuk besi
722,20,てっぱん,てっぱん,てっぱん,teppan,plat besi
723,20,どけます,どけます,どけます,dokemasu,memindahkan/menyingkirkan
724,20,とめます,とめます,とめます,tomemasu,menghentikan
725,20,とりかえます,とりかえます,とりかえます,torikaemasu,menukar/mengganti
726,20,ドリル,ドリル,ドリル,doriru,bor
727,20,なきます,なきます,なきます,nakimasu,menangis
728,20,はなをかみます,はなをかみます,はなをかみます,hanawokamimasu,membuang ingus
729,20,ふまん,ふまん,ふまん,fuman,tidak puas
730,20,ふりょうひん,ふりょうひん,ふりょうひん,furyouhin,barang cacat
731,20,防塵マスク,ぼうじんマスク,防塵(ぼうじん)マスク,boujinmasuku,masker pelindung
732,20,指差呼称励行,ゆびさしこしょうれいこう,指差呼称励行(ゆびさしこしょうれいこう),yubisashikoshoureikou,pelaksanaan dengan menunjuk jari
733,20,レバー,レバー,レバー,reba-,tuas
734,20,わらいます,わらいます,わらいます,waraimasu,tertawa
735,21,うごかします,うごかします,うごかします,ugokashimasu,menggerakkan
736,21,おつり,おつり,おつり,otsuri,uang kembalian
737,21,おと,おと,おと,oto,bunyi
738,21,きちんと,きちんと,きちんと,kichinto,dengan rapi
739,21,くすりや,くすりや,くすりや,kusuriya,toko obat/apotik
740,21,けんこうしんだん,けんこうしんだん,けんこうしんだん,kenkoushindan,pemeriksaan kesehatan
741,21,けんぶつします,けんぶつします,けんぶつします,kenbutsushimasu,melancong/berwisata
742,21,こうばん,こうばん,こうばん,kouban,pos polisi
743,21,こまかい,こまかい,こまかい,komakai,kecil/recehan
744,21,こまります,こまります,こまります,komarimasu,susah
745,21,さがします,さがします,さがします,sagashimasu,mencari
746,21,さきます,さきます,さきます,sakimasu,mekar
747,21,さくら,さくら,さくら,sakura,bunga sakura
748,21,さら,さら,さら,sara,piring
749,21,しじ,しじ,しじ,shiji,perintah/petunjuk
750,21,セーター,セーター,セーター,se-ta-,baju hangat/sweater
